QUADRADO NR,FRAME NR,EXPECTED DIST,MEASURED DIST,ANGLE
15,96,4.046276126743132,3.0365876774804055,3.0365876774804055
15,116,5.185940909546453,3.2610744223553305,3.2610744223553305
15,126,4.455285313080692,4.646457655193349,4.646457655193349
15,136,3.763002684917148,4.202568339352337,4.202568339352337
15,146,3.16286310146415,3.0193608643803596,3.0193608643803596
15,156,2.5835991544466865,2.2718952052091694,2.2718952052091694
15,166,2.1905467181308933,2.3007713850202234,2.3007713850202234
15,176,1.8140505011919688,1.9036355543678223,1.9036355543678223
15,186,1.418444863733846,1.461790681029761,1.461790681029761
15,196,1.2991535433395653,1.4184008102047492,1.4184008102047492
15,206,1.1586196304534537,1.226822063195988,1.226822063195988
15,216,1.0738757981605132,1.1298320286777044,1.1298320286777044
15,226,0.9295060297732052,0.9905148582367773,0.9905148582367773
15,236,0.8993496454600495,1.0222072798363375,1.0222072798363375
15,246,0.7940182981878687,0.8736651880380113,0.8736651880380113
15,256,0.7409371679651852,0.8164626392901709,0.8164626392901709
15,266,0.701855748031901,0.7769430495288634,0.7769430495288634
15,276,0.6518769887354784,0.7332142674598207,0.7332142674598207
15,286,0.6505812349289724,0.7243248008099875,0.7243248008099875
15,296,0.5917838692380138,0.6596342986585687,0.6596342986585687
15,306,3.692435500996594,3.155960016579738,3.155960016579738
15,316,3.750984074394011,3.2994136958490303,3.2994136958490303
15,326,1.3096939771416554,1.282286251554451,1.282286251554451
15,336,3.4870973468346786,2.7496767449829065,2.7496767449829065
15,346,1.998299952855976,1.6607353818529549,1.6607353818529549
15,356,2.7716832635986584,2.622834627258595,2.622834627258595
15,366,1.5133140791395137,1.5024233474626911,1.5024233474626911
15,376,1.448136035756944,1.454981991788151,1.454981991788151
15,386,2.329906955891183,2.2036833573069035,2.2036833573069035
15,396,2.1496010675277293,2.0282946157477144,2.0282946157477144
15,406,1.378661305054646,1.3179681595506472,1.3179681595506472
15,416,1.4400631641108663,1.3893792726054155,1.3893792726054155
15,426,1.4467308002388308,1.3979269964558834,1.3979269964558834
15,436,1.9457633678778232,1.847617644501234,1.847617644501234
15,446,1.445024423445258,1.495781258946136,1.495781258946136
15,456,1.8230987021921743,1.7456653711132901,1.7456653711132901
15,466,1.786606997869959,1.7220848679079164,1.7220848679079164
15,476,2.068509379818189,1.8498137274082884,1.8498137274082884
15,496,5.487204136997442,4.516650070011943,4.516650070011943
15,506,5.296033056976552,4.1486859606410516,4.1486859606410516
15,516,4.814696233106124,4.480363386082474,4.480363386082474
15,526,4.300889275333641,4.50779053897802,4.50779053897802
15,536,3.9528394541576652,3.198019973771174,3.198019973771174
15,546,3.409749066147222,3.3296463916089807,3.3296463916089807
15,556,2.847863623464799,2.5065402352573,2.5065402352573
15,566,2.3371484370042563,2.183482777402048,2.183482777402048
15,576,1.684701510755414,1.6804882552705052,1.6804882552705052
15,586,1.4912490902964548,1.5104820889918325,1.5104820889918325
15,596,1.2703943242052702,1.2618357438208774,1.2618357438208774
15,606,1.1745192254488404,1.2145689316514166,1.2145689316514166
15,616,1.0625129848024104,1.1104710985621145,1.1104710985621145
15,626,0.9858421714478548,1.0107226383783743,1.0107226383783743
15,636,0.9293787527944986,0.961877620142658,0.961877620142658
15,646,0.8758041598248347,0.920430730643735,0.920430730643735
15,656,0.7625128529087178,0.773341110016674,0.773341110016674
15,666,0.7239905845363922,0.7526729369468427,0.7526729369468427
15,676,0.7349872757974732,0.868873285769732,0.868873285769732
15,686,0.6627212118484517,0.7123741484461887,0.7123741484461887
15,696,0.6499036348596168,0.6580022020672976,0.6580022020672976
15,706,0.7020548204809985,0.6756965674114056,0.6756965674114056
15,716,2.8044066377746626,2.4007584486299436,2.4007584486299436
15,726,2.7926603163260606,2.3931189907796746,2.3931189907796746
